lineage	tip	date	distance	residuals	
L	Pg1213-22_2000	2000.0	10.302654179790753	-3.922946930923043
L	PY86_2008	2008.0	20.189017819790756	3.831343205372086
L	HO_1996	1996.0	10.810982180209244	-2.3485821786521726
L	PgKY_1997	1997.0	13.810982180209244	0.3849086333847893
L	GG11_1997	1997.0	5.810982180209245	-7.61509136661521
L	CHW_1996	1996.0	12.810982180209244	-0.34858217865217256
L	PL2-1_2002	2002.0	16.189017819790756	1.4303983331507695
L	PtKY18-1_2018	2018.0	21.189017819790756	2.1662513257410225
L	CHRF_1996	1996.0	9.189017819790756	-3.9705465390706607
L	FH_1996	1996.0	13.189017819790756	0.029453460929339315
L	LpKY97_1997	1997.0	15.189017819790756	1.7629442729663012
L	TP2_1997	1997.0	8.189017819790756	-5.237055727033699
T	Ub009i_2012	2012.0	18.143039549790757	0.719328183519707
T	Ub012i_2012	2012.0	18.143039549790757	0.719328183519707
T	Ub007i_2012	2012.0	18.143039549790757	0.719328183519707
T	PY6045_2006	2006.0	16.143039549790757	0.3183833112982768
T	Py221_2007	2007.0	17.143039549790757	1.0518741233352387
T	PY5033_2005	2005.0	19.428753829790757	3.870606779261429
T	PY6017_2006	2006.0	16.428753829790757	0.6040975912982773
T	WB127_2012	2012.0	23.22067928979076	5.796967923519709
T	WB169_2012	2012.0	19.22067928979076	1.7969679235197091
T	WB204_2012	2012.0	23.22067928979076	5.796967923519709
T	PY36_2007	2007.0	12.239399109790757	-3.8517663166647615
T	WB032i_2012	2012.0	14.142176879790757	-3.281534486480293
T	WB205_2012	2012.0	12.142176879790753	-5.281534486480297
T	P29_2012	2012.0	14.142176879790757	-3.281534486480293
T	Ce642i_2012	2012.0	15.350510219790756	-2.0732011464802937
T	Ei534i_2012	2012.0	14.350510219790756	-3.0732011464802937
T	EiJA22_2018	2018.0	21.350510219790756	2.3277437257410227
T	PY0925_2009	2009.0	16.350510219790756	-0.27367358259106567
T	WB037_2012	2012.0	14.350510219790756	-3.0732011464802937
T	WB053i_2012	2012.0	16.350510219790756	-1.0732011464802937
T	WB117_2012	2012.0	16.350510219790756	-1.0732011464802937
L	P28_2012	2012.0	22.24634354979076	4.822632183519708
T	T1-1_1987	1987.0	8.246343549790755	-2.5146381174026367
T	T13-3_1988	1988.0	8.246343549790755	-2.7811473053657885
T	T2-1_1987	1987.0	14.246343549790755	3.4853618825973633
T	T3-1_1986	1986.0	7.246343549790755	-3.2481289294395985
T	T37-2_1988	1988.0	11.246343549790755	0.21885269463421153
T	T46-2_1988	1988.0	9.246343549790755	-1.7811473053657885
T	T47-3_1985	1985.0	13.246343549790755	3.0183802585235533
L	U234_2017	2017.0	18.24634354979076	-0.5099137562958234
T	T12-8_1988	1988.0	10.246343549790755	-0.7811473053657885
T	Br81_1991	1991.0	11.246343549790755	-0.5806748692551302
T	T5-3_1988	1988.0	12.246343549790755	1.2188526946342115
T	Br80_1991	1991.0	11.246343549790755	-0.5806748692551302
T	T50-3_1988	1988.0	9.246343549790755	-1.7811473053657885
T	Br7_1990	1990.0	11.246343549790755	-0.3141656812919784
L	Br58_1990	1990.0	14.246343549790755	2.6858343187080216
L	Ds555i_2012	2012.0	22.24634354979076	4.822632183519708
T	BdBar_2016	2016.0	11.246343549790755	-7.243404568332789
T	BdKus_2016	2016.0	10.246343549790755	-8.243404568332789
T	BdMag_2016	2016.0	10.246343549790755	-8.243404568332789
T	BdMeh_2016	2016.0	10.246343549790755	-8.243404568332789
T	BR118_1992	1992.0	12.246343549790755	0.15281594278183164
T	T30-2_1988	1988.0	14.246343549790755	3.2188526946342115
T	T42-2_1988	1988.0	12.246343549790755	1.2188526946342115
T	BR116_1992	1992.0	8.246343549790755	-3.8471840572181684
T	B2_2012	2012.0	16.246343549790755	-1.1773678164802952
T	P3_2012	2012.0	20.24634354979076	2.8226321835197083
T	Br48_1990	1990.0	14.246343549790755	2.6858343187080216
T	T25_1988	1988.0	11.246343549790755	0.21885269463421153
T	T4-2_1988	1988.0	9.246343549790755	-1.7811473053657885
L	As345_2012	2012.0	21.62134354979076	4.197632183519708
L	Ecrus326_2012	2012.0	19.62134354979076	2.1976321835197083
L	Ub368_2012	2012.0	23.62134354979076	6.197632183519708
L	ATCC64557_1980	1980.0	14.607454659790754	5.7120373083390845
L	P25_2012	2012.0	25.297109829790756	7.873398463519706
L	PY5010_2005	2005.0	16.224529179790757	0.6663821292614287
L	Po221_2015	2015.0	20.224529179790757	2.0012902496303653
L	TF05-1_2005	2005.0	20.224529179790757	4.666382129261429
L	TF15-1_2015	2015.0	24.224529179790757	6.001290249630365
